Code,Split,RMSE,converged
AUT,Test,0.8208,True
AUT,Val,1.9222,True
BEL,Test,0.7998,True
BEL,Val,1.6136,True
BGR,Test,0.621,True
BGR,Val,1.061,True
CYP,Test,1.043,True
CYP,Val,1.8143,True
CZE,Test,1.367,True
CZE,Val,1.9195,True
DEU,Test,0.569,True
DEU,Val,0.6623,True
DNK,Test,0.9813,True
DNK,Val,1.0458,True
ESP,Test,0.6406,True
ESP,Val,0.5008,True
EST,Test,3.0995,True
EST,Val,3.2579,True
FIN,Test,0.96,True
FIN,Val,1.1564,True
FRA,Test,0.3914,True
FRA,Val,0.9512,True
GRC,Test,0.5074,True
GRC,Val,0.565,True
HRV,Test,0.926,True
HRV,Val,1.5342,True
HUN,Test,1.082,True
HUN,Val,1.9247,True
IRL,Test,1.8331,True
IRL,Val,2.3474,True
ITA,Test,0.3505,True
ITA,Val,0.3538,True
LTU,Test,4.9913,True
LTU,Val,11.7185,True
LUX,Test,1.8686,True
LUX,Val,2.7899,True
LVA,Test,0.4483,True
LVA,Val,3.9828,True
MLT,Test,1.24,True
MLT,Val,1.383,True
NLD,Test,0.2616,True
NLD,Val,0.411,True
POL,Test,3.2107,True
POL,Val,3.6372,True
PRT,Test,1.9781,True
PRT,Val,2.0827,True
ROU,Test,1.1195,True
ROU,Val,1.9206,True
SVK,Test,3.0282,True
SVK,Val,3.2434,True
SVN,Test,0.9983,True
SVN,Val,1.5766,True
SWE,Test,0.6027,True
SWE,Val,0.9871,True
